NOMEUP,IQVU
Abilio Machado,0.714308668
Anchieta,0.755253901
Antonio Carlos,0.70989744
Bairro das Industrias,0.753675619
Baleia,0.70587032
Barragem,0.553140393
Barreiro de Baixo,0.751165868
Barreiro de Cima,0.615177211
Barreiro-Sul,0.482132124
Barro Preto,0.856586868
Barroca,0.765196443
Belmonte,0.659291238
Belvedere,0.769292717
Betania,0.730274163
Boa Vista,0.685541072
Braunas,0.687080039
Buritis,0.672025267
Cabana,0.618992681
Cachoeirinha,0.69367807
Cafezal,0.556741862
Caicara,0.716582357
Camargos,0.613401915
Capitao Eduardo,0.607322473
Cardoso,0.682916058
Carmo,0.775673299
Castelo,0.595461776
CENTRO,0.798798365
Ceu Azul,0.643337018
Concordia,0.741540617
Confisco,0.605014476
Copacabana,0.636402248
Cristiano Machado,0.738900719
Cruzeiro,0.775935589
Estoril,0.672025267
Floresta,0.785570033
Francisco Sales,0.868942262
Funcionários,0.804586698
Furquim Werneck,0.464196632
Garcas,0.687080039
Gloria,0.663752889
Goiania,0.692269838
Gorduras,0.600352758
Gutierrez,0.765196443
Instituto Agronomico,0.740642306
Isidoro Norte,0.634679732
Jaqueline,0.630110601
Jaragua,0.736936528
Jardim America,0.727207314
Jardim Europa,0.699618988
Jardim Felicidade,0.538270738
Jardim Montanhes,0.675874351
Jatoba,0.627890695
Lindeia,0.679612215
Lourdes,0.804586698
Luxemburgo,0.765196443
Mangabeiras,0.783575181
Mantiqueira,0.608551057
Mariano de Abreu,0.582588955
Morro das Pedras,0.601321237
Olhos Dagua,0.621688837
Ouro Preto,0.742575372
Padre Eustaquio,0.764954704
Pampulha,0.798016108
Pilar Oeste,0.672025267
Piratininga,0.643770275
Planalto,0.762440117
Pompeia,0.775655666
Prado Lopes,0.591456599
Primeiro de Maio,0.695328377
Prudente de Morais,0.80397395
PUC,0.722859463
Ribeiro de Abreu,0.612153242
Sagrada Família,0.785570033
Santa Amelia,0.747316613
Santa Efigênia,0.725591389
Santa Inês,0.794606199
Santa Maria,0.642220966
Santa Tereza,0.785570033
Santo Agostinho,0.804586698
Santo Antônio,0.775673299
São Bento,0.824468066
São Bernardo,0.629807942
São Francisco,0.762419377
São João Batista,0.725060798
São Paulo,0.692269838
São Lucas,0.775935589
São Pedro,0.775673299
Sarandi,0.691262522
Savassi,0.804586698
Serra,0.775935589
Serra Verde,0.650987469
Sesc,0.608551057
Sion,0.755253901
Santa Lúcia,0.824468066
Taquaril,0.535259088
Tupi/Floramar,0.636245276
Venda Nova,0.746810575
Vila Paris,0.775673299
